position,sess,burst_type,ids,amp,freq,duration
1,230610,cc,0,0.33828302450000003,16.2166677643,0.257362356
2,230610,cc,1,0.40015449940000003,16.3270693682,0.30473751600000004
1,230610,co,4,0.883138281,18.5367845873,0.16133162610000001
1,230610,cc,5,0.4737405549,20.1676572718,0.4980793854
1,230610,cc,5,0.3930210709,18.8916139777,0.1062740077
1,230610,cc,5,0.5509225512,16.7935958268,0.1843790013
3,230610,cc,6,0.3919954244,17.7584464719,0.1165172855
3,230610,cc,6,0.5520764078,19.9769242817,0.14980793850000002
0,230610,cc,7,0.7590692597,19.6628709139,0.2023047375
-2,230610,cc,8,0.32672273360000004,24.1052309045,0.119078105
2,230610,cc,9,0.37108991480000003,17.8255061659,0.4532650448
-2,230610,cc,10,0.37024866970000003,16.1346277251,0.1254801536
-3,230610,co,11,0.6692338061,15.5676428488,0.1997439181
-3,230610,cc,11,0.5582515392,19.1492617656,0.1152368758
-2,230610,cc,12,0.44700861210000004,24.7045754243,0.1152368758
-2,230610,cc,12,0.33689307020000003,18.2533021179,0.1075544174
-2,230610,cc,12,0.4657901424,18.7735474471,0.09987195900000001
-2,230610,cc,12,0.7815293056,19.7379784987,0.09987195900000001
0,230610,cc,14,0.3659143814,18.7742433669,0.1536491677
0,230610,cc,17,0.5101743272,22.6702382859,0.0845070423
0,230610,cc,17,0.35663125700000003,17.1141773651,0.119078105
0,230610,cc,17,0.42241602840000003,25.5131161384,0.16389244560000002
1,230610,cc,18,0.4367985122,21.0850380453,0.1459667093
1,230610,cc,18,0.309859888,20.9669289445,0.3252240717
1,230610,co,18,0.38271043190000004,26.8237683366,0.2266325224
3,230610,cc,19,0.7152655314,22.7949005853,0.133162612
3,230610,cc,19,0.3634241733,23.3347222033,0.1408450704
3,230610,cc,19,0.744667532,18.3823671408,0.1011523688
0,230610,co,20,0.814469325,24.4097292747,0.0793854033
0,230610,cc,20,0.23510437720000002,20.0285650129,0.2496798976
-1,230610,cc,21,0.5329910781,21.1743743046,0.2804097311
2,230610,cc,22,0.523931726,20.91088784,0.23815621
2,230610,cc,22,0.6410209341,23.9716493358,0.1318822023
2,230610,cc,25,0.43854209050000004,17.2980305606,0.2535211268
1,230610,cc,27,0.5407148985,20.3371614117,0.1344430218
1,230610,cc,27,0.3569008421,16.8956688988,0.1267605634
-2,230610,cc,29,0.4267399443,22.5813448888,0.23431498080000002
-1,230610,co,31,0.5366347285,15.547328473,0.19462227910000002
-1,230610,cc,31,0.3901286854,24.9085241456,0.0806658131
0,230610,cc,32,0.7428544038,20.559690560299998,0.0896286812
2,230610,cc,33,0.6832219947,24.2094722855,0.0793854033
2,230610,cc,33,0.6487128065000001,18.8820132465,0.47375160050000004
0,230610,cc,34,0.4517452039,19.6923667194,0.290653009
0,230610,cc,34,0.5624301404000001,19.3089239935,0.1075544174
2,230610,cc,35,0.3394514906,21.3767128429,0.14212548020000002
2,230610,cc,35,0.6865102021,19.7843259402,0.09987195900000001
-1,230610,cc,36,0.5223090568000001,20.465893531,0.33802816900000004
1,230610,co,38,0.5834523452,17.0805361989,0.4135723431
1,230610,cc,38,0.3276152278,17.9112077002,0.22023047380000002
1,230610,cc,40,0.4712508939,24.4325750739,0.1651728553
1,230610,cc,40,0.6573121247,21.698940338,0.22791293210000002
-1,230610,co,42,0.560126639,24.1706576222,0.1254801536
-1,230610,cc,42,0.5003172391,21.7350440091,0.1882202305
-2,230610,cc,43,0.3472124375,20.4275196941,0.1434058899
3,230610,co,45,0.7964978182,19.3792700257,0.1510883483
3,230610,cc,45,0.4015768013,20.02165763,0.1485275288
2,230610,cc,47,0.6573765958000001,16.9102194135,0.1805377721
1,230610,co,49,0.8300827321,22.4629052939,0.1344430218
1,230610,cc,50,0.6280922361,21.3614548033,0.1459667093
1,230610,cc,50,0.6239848118,17.773231376200002,0.1152368758
3,230610,cc,52,0.6974147027,23.062547095,0.0806658131
3,230610,cc,52,0.3172078555,28.0525138985,0.138284251
3,230610,co,52,0.6645767735,22.273606369,0.27144686300000004
0,230610,cc,53,0.6590614823000001,17.4623477444,0.1766965429
3,230610,cc,54,0.1828354039,30.8716838299,0.0985915493
3,230610,co,54,0.7781389991000001,21.1005998808,0.1446862996
3,230610,cc,54,0.6098075178,22.7577256778,0.0896286812
3,230610,cc,54,0.4601275119,19.1352028562,0.1536491677
3,230610,co,55,0.3371052733,27.6415860919,0.1805377721
3,230610,cc,55,0.32314040980000003,19.6548185888,0.41229193340000003
1,230610,cc,57,0.6907969062,19.306590065,0.1626120359
3,230610,cc,58,0.2197950875,26.0566390653,0.11139564660000001
-2,230610,cc,59,0.43082257830000004,20.6901230533,0.5787451985000001
-2,230610,co,59,0.523996122,22.5677684703,0.1792573624
-2,230610,cc,59,0.4093381887,21.5074130596,0.2330345711
-1,230610,cc,60,0.47533306750000004,25.6928635905,0.0768245839
2,230610,cc,61,0.45368316350000004,17.8042943348,0.5697823303
3,230610,co,63,0.5137513688,15.4065790641,0.1318822023
-3,230610,cc,65,0.651654701,19.9081804633,0.1485275288
-3,230610,co,65,0.7431331605,19.3711642171,0.1062740077
-3,230610,cc,65,0.45596185720000004,17.7034246992,0.1690140845
-1,230610,cc,66,0.5603582312000001,17.0883391054,0.1152368758
-1,230610,cc,66,0.49380472670000003,21.4295658482,0.0896286812
-1,230610,cc,67,0.5283305479,23.1480810378,0.1280409731
-1,230610,cc,67,0.4691337862,20.0608191852,0.1510883483
3,230610,cc,69,0.6935730746000001,17.2742813166,0.1702944942
-1,230610,cc,70,0.4199299835,22.8069717748,0.1818181818
1,230610,cc,71,0.5726103027,20.140940494,0.14724711910000002
1,230610,cc,71,0.4060474475,19.7617728517,0.4020486556
1,230610,cc,71,0.5332907357000001,19.2549035297,0.1510883483
1,230610,cc,74,0.1644775848,17.3511168775,0.11267605630000001
-2,230610,cc,75,0.5920754578,20.3126349744,0.2023047375
0,230610,cc,76,0.21833474760000002,20.0118722213,0.3585147247
0,230610,cc,76,0.604486445,20.0930099452,0.0973111396
0,230610,cc,76,0.6847473286,18.6616937015,0.1677336748
1,230610,cc,77,0.3774674267,23.6643566543,0.16389244560000002
1,230610,cc,78,0.8284563686,22.5144484463,0.133162612
1,230610,cc,78,0.6436790661,22.7951965038,0.0985915493
-1,230610,cc,79,0.4565579994,22.1232169936,0.1293213828
0,230610,cc,80,0.39989122390000004,20.2789971361,0.3457106274
0,230610,co,80,0.8469575891000001,24.2636976534,0.1203585147
0,230610,cc,80,0.4796776344,20.9917090164,0.1395646607
-1,230610,cc,81,0.483810393,25.6609517687,0.0755441741
-1,230610,cc,81,0.4662910434,27.3552281095,0.1139564661
-1,230610,cc,81,0.5863729522000001,21.4003798385,0.1446862996
-1,230610,cc,83,0.4375233067,27.8574856773,0.1152368758
0,230610,cc,84,0.6547043924,20.5413725489,0.09475032010000001
0,230610,cc,84,0.3614389834,19.5110156069,0.3008962868
2,230610,cc,86,0.36371929140000003,19.9974091699,0.2419974392
2,230610,cc,87,0.6283023131000001,21.2616045124,0.2791293214
3,230610,cc,88,0.7755355770000001,19.5466270302,0.1485275288
3,230610,cc,88,0.4404288082,17.7306551465,0.4494238156
-1,230610,cc,90,0.46131930060000004,23.3361100129,0.41869398210000003
2,230610,cc,91,0.3224549404,15.8985940312,0.1267605634
2,230610,cc,91,0.5051191614,21.1423590465,0.2842509603
2,230610,cc,91,0.5323402901000001,18.3678296639,0.1702944942
1,230610,co,92,0.5797047847,19.134924016,0.2163892446
1,230610,cc,93,0.3641584292,19.5342600077,0.1600512164
1,230610,co,93,0.6191044326,22.0013384648,0.1805377721
0,230610,cc,94,0.7156299931,20.1434993704,0.1510883483
0,230610,cc,94,0.3948213814,21.0331871272,0.1869398207
-2,230610,cc,95,0.620568561,21.8139782168,0.2842509603
-2,230610,cc,95,0.2222925675,19.4973694575,0.15236875800000002
-2,230610,cc,95,0.49543851860000004,19.3357424067,0.2676056338
-3,230610,cc,96,0.6954743311,19.1185237087,0.1574903969
3,230610,cc,97,0.6287025542,18.7440517625,0.218950064
1,230610,cc,98,0.4282959449,21.7708663152,0.27144686300000004
1,230610,cc,98,0.6547065765,18.4634956299,0.21126760560000002
1,230610,cc,98,0.5141852247,22.1488861447,0.3162612036
0,230610,cc,99,0.18306991590000002,27.0309540779,0.0729833547
0,230610,co,99,0.5208995035,16.1042842896,0.3738796415
1,230610,cc,100,0.60597523,22.7094405594,0.171574904
3,230610,cc,101,0.340918184,15.7943286857,0.13060179260000002
3,230610,cc,101,0.4876543352,18.3750305201,0.2765685019
3,230610,cc,101,0.5417339623,19.9318120252,0.1549295775
-1,230610,cc,104,0.49376529410000003,20.0352823973,0.2560819462
-1,230610,cc,104,0.4883964879,18.4500980688,0.5044814341
2,230610,co,105,0.5514567765,22.6833691589,0.171574904
-1,230610,cc,106,0.7597504264,20.2727501464,0.1459667093
0,230610,cc,107,0.6665350667000001,20.1988966836,0.1037131882
0,230610,cc,107,0.7062264455,18.6881052747,0.1651728553
-2,230610,cc,108,0.5232174551000001,21.7941526904,0.0896286812
-3,230610,cc,109,0.4109127944,20.1655825434,0.2471190781
-3,230610,cc,109,0.591088727,18.0236608256,0.1677336748
-3,230610,co,109,0.6167417970000001,25.5161775249,0.0768245839
0,230610,cc,110,0.6932509176,18.7530434992,0.2074263764
0,230610,cc,110,0.7443874206000001,18.7022560374,0.1626120359
