position,loc,chan,burst_type,ids,amp,freq,duration,monkey
-3,POP3_23460,0,cc,1,0.49185154610000004,18.5361336254,0.1459667093,P
-3,POP3_23460,0,cc,10,0.5410972038,21.0483076232,0.0921895006,P
-2,POP3_23460,0,cc,41,0.5978012919,15.9986357124,0.1203585147,P
-3,POP3_23460,0,cc,45,0.2428911803,19.286895137,0.1933418694,P
-3,POP3_23460,0,cc,68,0.6001853715000001,15.132316349,0.3175416133,P
-3,POP3_23460,0,cc,68,0.7616550902,18.633832331,0.1459667093,P
-2,POP3_23460,0,cc,69,0.5547567464000001,16.8555071068,0.33802816900000004,P
-2,POP3_23460,0,cc,69,0.5664062085,19.2549705599,0.3354673496,P
-2,POP3_23460,0,cc,69,0.3821760435,18.5629942753,0.085787452,P
-2,POP3_23460,0,cc,69,0.4138439025,16.5537428548,0.1062740077,P
-3,POP3_23460,0,cc,72,0.5361315785,22.207439928,0.0755441741,P
-2,POP3_23460,0,cc,73,0.4437696653,20.5174539981,0.0973111396,P
-3,POP3_23460,0,cc,77,0.7295399894,16.6025506187,0.0729833547,P
-3,POP3_23460,0,cc,77,0.4340190767,20.0624947666,0.0960307298,P
-3,POP3_23460,0,cc,101,0.2515061233,19.6310709806,0.133162612,P
-2,POP3_23460,0,cc,102,0.7535467772000001,20.0204645711,0.0896286812,P
-2,POP3_23460,0,co,118,0.291898759,20.3369638185,0.12163892450000001,P
-3,POP3_23460,0,cc,157,0.5380470868,17.6630900135,0.15236875800000002,P
-3,POP3_23460,0,cc,157,0.7417527385,18.7797874334,0.2010243278,P
-3,POP3_23460,0,cc,161,0.6031714094,20.5543507508,0.1357234315,P
-2,POP3_23460,0,co,162,0.507418951,17.8186196831,0.22023047380000002,P
-3,POP3_23460,0,cc,165,0.48802532730000003,17.408615619,0.29449423820000004,P
-2,POP3_23460,0,cc,166,0.6130537727,17.787730571,0.2317541613,P
-3,POP3_23460,0,cc,189,0.6515303991,17.7063985744,0.1434058899,P
-2,POP3_23460,0,cc,194,0.3181615125,15.2658738717,0.1843790013,P
-3,POP3_23460,0,pta,101,0.5904363903000001,19.5551991238,0.2624839949,P
-3,POP3_23460,0,pta,101,0.3690018772,19.0225760275,0.3137003841,P
-2,POP3_23460,0,pta,102,0.5382369438,19.068735541,0.1370038412,P
-2,POP3_23460,0,pta,102,0.6169042463000001,21.188718171,0.1997439181,P
-3,POP3_23460,0,pta,117,0.5742666243,18.31589086,0.5544174136000001,P
-3,POP3_23460,0,pta,117,0.5241471486,21.6472843371,0.1011523688,P
-2,POP3_23460,0,pta,118,0.4289503712,18.8822956708,0.6875800256,P
-2,POP3_23460,0,pta,118,0.4470534076,17.8402974921,0.4647887324,P
-3,POP3_23460,0,pta,128,0.5349009383000001,17.1220696867,0.7605633803,P
-3,POP3_23460,0,pta,157,0.3934226624,16.9946180003,0.2266325224,P
-3,POP3_23460,0,pta,161,0.3977692303,16.5576834743,0.252240717,P
-3,POP3_23460,0,pta,161,0.49995954330000003,17.6364082196,0.48015364920000003,P
-3,POP3_23460,0,pta,161,0.5573857885,20.3365156773,0.3213828425,P
-2,POP3_23460,0,pta,162,0.4417099728,18.846570728,0.204865557,P
-3,POP3_23460,0,pta,165,0.43994535440000004,17.0167142651,0.23943661970000002,P
-3,POP3_23460,0,pta,165,0.5066629530000001,18.7007035373,0.7810499360000001,P
-3,POP3_23460,0,pta,165,0.3916579677,16.3102090678,0.0768245839,P
-2,POP3_23460,0,pta,166,0.1985239224,16.123030126,0.1088348271,P
-3,POP3_23460,0,pta,189,0.47468138,20.692539235,0.23431498080000002,P
-3,POP3_23460,0,pta,193,0.4714790915,18.2656882889,0.252240717,P
-3,POP3_23460,0,pta,193,0.3407255007,18.6393288693,0.3597951344,P
-3,POP3_23460,0,pta,193,0.3597266166,20.081785335,0.2471190781,P
-2,POP3_23460,0,pta,194,0.29082354120000004,15.3261639872,0.42381562100000003,P
-1,POP3_23460,0,pta,205,0.2675585334,15.1894422878,0.09987195900000001,P
0,POP3_23460,0,pta,206,0.41047282620000003,16.6231660318,0.7567221511000001,P
0,POP3_23460,0,pta,206,0.4189671841,17.0414120483,0.119078105,P
-1,POP3_24650,0,cc,208,0.32429168350000004,20.1616338119,0.0896286812,P
-1,POP3_24650,0,co,208,0.7513397955000001,23.431738209,0.0755441741,P
0,POP3_24650,0,cc,209,0.5794076333,17.5921104527,0.20614596670000002,P
-2,POP3_24650,0,cc,212,0.4665582263,17.1328546414,0.2432778489,P
-1,POP3_24650,0,cc,219,0.5284606772,21.3192790172,0.0793854033,P
0,POP3_24650,0,cc,220,0.4729457916,20.2287271604,0.1344430218,P
0,POP3_24650,0,co,220,0.5200277019,16.8267070484,0.1818181818,P
0,POP3_24650,0,cc,220,0.5579094162,20.1043510274,0.1869398207,P
